titel;kuerzel;slug;url;untertitel;kategorien;spielart_geschaetzt
Abends, wenn die Ahnfrau geistert;;abends-wenn-die-ahnfrau-geistert;https://theaterverlag-arno-boas.de/stuecke/abends-wenn-die-ahnfrau-geistert;Spuk-Komödie;Komödie;Abendfüllend
Abgesägt!;;abgesagt;https://theaterverlag-arno-boas.de/stuecke/abgesagt;Öko-Komödie (Einakter);Komödie;Einakter
Abseits;e-63;e-63-abseits;https://theaterverlag-arno-boas.de/stuecke/e-63-abseits;Ein Stück aus dem Fußball-Leben einer Ehe mit umgekehrten Vorzeichen;Komödie;Abendfüllend
Abseits;;abseits;https://theaterverlag-arno-boas.de/stuecke/abseits;Komödie über die (verkehrte) Fußballwelt;Komödie;Abendfüllend
Achtung, Nikolaus;;achtung-nikolaus;https://theaterverlag-arno-boas.de/stuecke/achtung-nikolaus;Einakter von Christian Ziegler;Weihnachten;Einakter
Adlig sein ist ganz schön schwer;;adlig-sein-ist-ganz-schon-schwer;https://theaterverlag-arno-boas.de/stuecke/adlig-sein-ist-ganz-schon-schwer;Komödie (Einakter);Für Jugendliche, Märchen;Einakter
Agentur Weihnachtsengel;;agentur-weihnachtsengel;https://theaterverlag-arno-boas.de/stuecke/agentur-weihnachtsengel;Komödie (Sketch);Weihnachten;Sketch
Allen alles recht gemacht;;allen-alles-recht-gemacht;https://theaterverlag-arno-boas.de/stuecke/allen-alles-recht-gemacht;Einakter über eine verunglückte Geburtstagsfeten-Vorbereitung;Komödie;Einakter
Alles bloß Theater?;;alles-blos-theater;https://theaterverlag-arno-boas.de/stuecke/alles-blos-theater;Komödie ums Theater im Theater;Komödie, Tragikomödie;Abendfüllend
Allmächt;;allmacht;https://theaterverlag-arno-boas.de/stuecke/allmacht;Zeitkritische Komödie;Komödie;Abendfüllend
Allmächt – Episode II;;allmacht-episode-ii;https://theaterverlag-arno-boas.de/stuecke/allmacht-episode-ii;Zeitkritische Komödie;Komödie;Abendfüllend
Alte Hähne, kampferprobt;;alte-hahne-kampferprobt;https://theaterverlag-arno-boas.de/stuecke/alte-hahne-kampferprobt;Komödie für Senioren;Komödie, Für Senioren;Abendfüllend
Am Bahnschalter;;am-bahnschalter;https://theaterverlag-arno-boas.de/stuecke/am-bahnschalter;Komödie;Komödie;Abendfüllend
An einem Tag im März;;an-einem-tag-im-marz;https://theaterverlag-arno-boas.de/stuecke/an-einem-tag-im-marz;Drama nach einer wahren Begebenheit;Drama;Abendfüllend
Angies Ausflug;;angies-ausflug;https://theaterverlag-arno-boas.de/stuecke/angies-ausflug;Komödie (ca. 75 Minuten);Komödie, Für Jugendliche;Abendfüllend
App ins Märchenland;;app-ins-marchenland;https://theaterverlag-arno-boas.de/stuecke/app-ins-marchenland;Modernes Märchen;Für Jugendliche, Märchen;Abendfüllend
Aspirin & Bratkartoffeln;;aspirin-bratkartoffeln;https://theaterverlag-arno-boas.de/stuecke/aspirin-bratkartoffeln;Komödie;Komödie;Abendfüllend
Auch der Herbst hat schöne Tage;;auch-der-herbst-hat-schone-tage;https://theaterverlag-arno-boas.de/stuecke/auch-der-herbst-hat-schone-tage;Komödie (Einakter);Für Senioren;Einakter
Auch Drachen sind nur Menschen;;auch-drachen-sind-nur-menschen;https://theaterverlag-arno-boas.de/stuecke/auch-drachen-sind-nur-menschen;Modernes Märchen;Komödie, Märchen;Abendfüllend
Auf den letzten Drücker;;auf-den-letzten-drucker;https://theaterverlag-arno-boas.de/stuecke/auf-den-letzten-drucker;Einakter über eine missglückte Entführung;Drama;Einakter
Auf der Autobahn;;auf-der-autobahn;https://theaterverlag-arno-boas.de/stuecke/auf-der-autobahn;Komödie (Einakter);Komödie;Einakter
Auf der Schönheitsfarm;;auf-der-schonheitsfarm;https://theaterverlag-arno-boas.de/stuecke/auf-der-schonheitsfarm;Komödie;Komödie;Abendfüllend
Auf gute Feindschaft;;auf-gute-feindschaft;https://theaterverlag-arno-boas.de/stuecke/auf-gute-feindschaft;Komödie in drei Akten;Komödie;Abendfüllend
Aufs Herrchen kommt's an;;aufs-herrchen-kommts-an;https://theaterverlag-arno-boas.de/stuecke/aufs-herrchen-kommts-an;Komödie;Komödie;Abendfüllend
Aufs Kreuz gelegt;;aufs-kreuz-gelegt;https://theaterverlag-arno-boas.de/stuecke/aufs-kreuz-gelegt;Tragikomödie;Komödie, Drama, Tragikomödie;Abendfüllend
Aufstand im Olymp;;aufstand-im-olymp;https://theaterverlag-arno-boas.de/stuecke/aufstand-im-olymp;Göttliche Komödie;Komödie;Abendfüllend
Bauer sucht Sau;;bauer-sucht-sau;https://theaterverlag-arno-boas.de/stuecke/bauer-sucht-sau;Komödie (Einakter);Komödie;Einakter
Bei uns daham;;bei-uns-daham;https://theaterverlag-arno-boas.de/stuecke/bei-uns-daham;Komödie (Einakter);Komödie;Einakter
Beim Franko ist was los;;beim-franko-ist-was-los;https://theaterverlag-arno-boas.de/stuecke/beim-franko-ist-was-los;Komödie;Komödie;Abendfüllend
Bescherung ohne Geschenk;;bescherung-ohne-geschenk;https://theaterverlag-arno-boas.de/stuecke/bescherung-ohne-geschenk;Komödie (Sketch);Komödie, Weihnachten;Sketch
Bier, Bits und ein Baby;;bier-bits-und-ein-baby;https://theaterverlag-arno-boas.de/stuecke/bier-bits-und-ein-baby;Komödie;Komödie;Abendfüllend
Bis dass der Tod uns scheidet;;bis-dass-der-tod-uns-scheidet;https://theaterverlag-arno-boas.de/stuecke/bis-dass-der-tod-uns-scheidet;Tragikomödie;Komödie, Tragikomödie;Abendfüllend
Bürger Franz;;buerger-franz;https://theaterverlag-arno-boas.de/stuecke/buerger-franz;Komödie über einen Spießbürger par excellence;Komödie;Abendfüllend
Chaos auf dem Bauernhof;;chaos-auf-dem-bauernhof;https://theaterverlag-arno-boas.de/stuecke/chaos-auf-dem-bauernhof;Ländliches Lustspiel;Komödie;Abendfüllend
Das Beziehungsprinzip;;das-beziehungsprinzip;https://theaterverlag-arno-boas.de/stuecke/das-beziehungsprinzip;Komödie über das, was Beziehungen auch sein können;Komödie;Abendfüllend
Das bisschen Haushalt;;das-bisschen-haushalt;https://theaterverlag-arno-boas.de/stuecke/das-bisschen-haushalt;Komödie (Einakter);Komödie;Einakter
Das Bruderherz;;das-bruderherz;https://theaterverlag-arno-boas.de/stuecke/das-bruderherz;Lustspiel;Komödie;Abendfüllend
Das Eigentor;;das-eigentor;https://theaterverlag-arno-boas.de/stuecke/das-eigentor;Sportliches Lustspiel;Komödie;Abendfüllend
Das Familienfest;;das-familienfest;https://theaterverlag-arno-boas.de/stuecke/das-familienfest;Komödie (Sketch);Weihnachten;Sketch
Das Geburtstagsgeschenk;;das-geburtstagsgeschenk;https://theaterverlag-arno-boas.de/stuecke/das-geburtstagsgeschenk;Komödie (Sketch);Für Senioren;Sketch
Das klösterliche Wickelkind;;das-klosterliche-wickelkind;https://theaterverlag-arno-boas.de/stuecke/das-klosterliche-wickelkind;Schwank;Komödie;Abendfüllend
Das Miststück;;das-miststuck;https://theaterverlag-arno-boas.de/stuecke/das-miststuck;Ländliches Lustspiel;Komödie;Abendfüllend
Das verrückte Haus;;das-verruckte-haus;https://theaterverlag-arno-boas.de/stuecke/das-verruckte-haus;Komödie;Komödie;Abendfüllend
Dass ich in den Himmel komm;;dass-ich-in-den-himmel-komm;https://theaterverlag-arno-boas.de/stuecke/dass-ich-in-den-himmel-komm;Lustspiel;Komödie;Abendfüllend
